ID_CHARGEST,DISTRICT_ID,DISTRICT,WIKIDATA_DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,WIKIDATA_NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR,WIKIDATA_OPERATOR
59,17,Villaverde,https://wikidata.org/wiki/Q919536,171,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/wiki/Q390435,CALLE VALLE DE TOBALINA,24,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Iberdrola,https://wikidata.org/wiki/Q1437502
60,6,Tetuán,https://wikidata.org/wiki/Q1773540,62,Cuatro Caminos,https://wikidata.org/wiki/Q5824684,CALLE BRAVO MURILLO,122,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
61,12,Usera,https://wikidata.org/wiki/Q953368,122,Orcasur,https://wikidata.org/wiki/Q10341270,CALLE DE EDUARDO BARREIROS,2,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
62,12,Usera,https://wikidata.org/wiki/Q953368,122,Orcasur,https://wikidata.org/wiki/Q10341270,A4,S/N,Estación de servicio,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
63,16,Hortaleza,https://wikidata.org/wiki/Q1928529,165,Apóstol Santiago,https://wikidata.org/wiki/Q11906303,AVENIDA DE SAN LUIS,77,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,naturgy,https://wikidata.org/wiki/Q474690
64,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CALLE 29,,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,9,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
65,15,Ciudad Lineal,https://wikidata.org/wiki/Q1763694,157,Colina,https://wikidata.org/wiki/Q18475981,CALLE ARTURO SORIA,175,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
66,15,Ciudad Lineal,https://wikidata.org/wiki/Q1763694,155,San Pascual,https://wikidata.org/wiki/Q165612,CALLE VERDAGUER Y GARCIA,5,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
67,14,Moratalaz,https://wikidata.org/wiki/Q2076109,143,Marroquina,https://wikidata.org/wiki/Q11935636,GLORIETA CORREGIDOR SANCHO DE CÓRDOBA,S/N,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
68,20,San Blas,https://wikidata.org/wiki/Q2001937,201,Simancas,https://wikidata.org/wiki/Q10371626,CALLE ALCALÁ,510,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
69,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,183,Ensanche de Vallecas,https://wikidata.org/wiki/Q3847485,CALLE ALTO DEL RETIRO,S/N,Estación de servicio,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
70,20,San Blas,https://wikidata.org/wiki/Q2001937,206,Rejas,https://wikidata.org/wiki/Q10359029,CALLE DEYANIRA,10,Aparcamiento,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,naturgy,https://wikidata.org/wiki/Q474690
71,20,San Blas,https://wikidata.org/wiki/Q2001937,206,Rejas,https://wikidata.org/wiki/Q10359029,CALLE NANCLARES DE OCA,5,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,Iberdrola,https://wikidata.org/wiki/Q1437502
72,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA EJE CENTRAL,7,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,naturgy,https://wikidata.org/wiki/Q474690
73,1,Centro,https://wikidata.org/wiki/Q1763376,14,Justicia,https://wikidata.org/wiki/Q1992319,CALLE GÉNOVA,24,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
74,6,Tetuán,https://wikidata.org/wiki/Q1773540,64,Almenara,https://wikidata.org/wiki/Q2265427,CALLE SAN AQUILINO,S/N,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,Iberdrola,https://wikidata.org/wiki/Q1437502
75,5,Chamartín,https://wikidata.org/wiki/Q1766348,52,Prosperidad,https://wikidata.org/wiki/Q4776,AVENIDA DE AMÉRICA,9,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,Iberdrola,https://wikidata.org/wiki/Q1437502
76,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,1818,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVDA. DE MADRID - APARCAMIENTO ESTE DEL MERCADO CENTRAL DE PESCADOS (PARCELA,S/N,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,,
77,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,1818,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,CALLE 29,,Aparcamiento,180 kW 2 conectores CC (CCS),2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
